epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,11.75,0.09122046302874713,0.1175,0.8381602777777776,0.9803301002302125,3.957742005004883,9.002,nan
2,21.86,0.19610952869872014,0.2186,0.9057082424242424,0.9807098766073716,3.2889131718444826,19.412,nan
3,31.55,0.29871513134984984,0.3155,0.9395194141414142,0.9814844172791051,2.7833963060760496,28.904,nan
4,39.03,0.3627369720925659,0.3903,0.960381393939394,0.9824325861560047,2.323074003982544,38.274,nan
5,45.43,0.4429508413574502,0.4543,0.9685736161616161,0.98287717039916,2.009763790931702,44.888,nan
6,47.69,0.4640044307577052,0.4769,0.9716029292929295,0.983222730591939,1.8167866094207763,49.354,nan
7,48.85,0.48112195557252535,0.4885,0.9745120101010101,0.9837009658405509,1.6899571448135375,52.666,nan
8,53.349999999999994,0.5282670322663108,0.5335,0.9787138585858586,0.98390123118524,1.5941757577133178,55.018,nan
9,51.93,0.5143864031664389,0.5193,0.9771916515151515,0.9840559013169683,1.5216777460861206,57.068,nan
10,43.8,0.4409978859927859,0.438,0.9651598787878788,0.983946012683491,1.4613064223480225,58.364,nan
11,50.44,0.5034060512634863,0.5044,0.975131171717172,0.9841427599982039,1.415965534439087,59.7,nan
12,49.91,0.4866020334653829,0.4991,0.9730717373737373,0.9840790656974896,1.3674022751998902,60.788,nan
13,47.88,0.47120767916913114,0.4788,0.9681991616161616,0.9845273354416271,1.3387166608428955,61.91,nan
14,51.519999999999996,0.5072867497400275,0.5152,0.9754391717171716,0.9845382946893685,1.3106785737228392,62.372,nan
15,52.86,0.5295887678259517,0.5286,0.975746292929293,0.984516412557701,1.2792192528533937,63.332,nan
16,54.36,0.5385236223521435,0.5436,0.9788046666666667,0.9847573641393953,1.252353236541748,63.864,nan
17,55.60000000000001,0.5509676784342872,0.556,0.9798042424242424,0.9848131092469866,1.2246581255340576,64.508,nan
18,52.92,0.5247485449416486,0.5292,0.9776496464646464,0.9846245897301897,1.2136309575271607,64.774,nan
19,54.669999999999995,0.545282010261418,0.5467,0.9781728585858587,0.9845522352230632,1.1943442933654784,65.162,nan
20,53.97,0.5377431519220812,0.5397,0.9784785858585859,0.9847013388343118,1.18341100605011,65.586,nan
21,53.81,0.5323973904798533,0.5381,0.9784997828282829,0.9846799767443842,1.162259658203125,66.164,nan
22,58.3,0.5806556065746288,0.583,0.9819764444444442,0.9849742368719485,1.1476808800506593,66.618,nan
23,55.32,0.5506037273630248,0.5532,0.9802455252525253,0.9845812458254721,1.1353790466308593,67.026,nan
24,54.779999999999994,0.5394139872695387,0.5478,0.977542292929293,0.9848241381766808,1.1272429019546508,67.394,nan
25,51.910000000000004,0.518277894879749,0.5191,0.9754022323232324,0.9847135866390434,1.1039689061737061,67.792,nan
26,56.44,0.562653404217522,0.5644,0.980929575757576,0.9849842174687204,1.110432151069641,67.576,nan
27,59.150000000000006,0.5883387467574527,0.5915,0.9828153333333333,0.9850781332470373,1.0869807270812988,68.518,nan
28,57.98,0.572498375170666,0.5798,0.982282085858586,0.9849151109743947,1.100004915599823,67.63,nan
29,55.800000000000004,0.556358120941071,0.558,0.9798513737373737,0.9847993094902452,1.0769198681259156,68.766,nan
30,58.620000000000005,0.5863322314681393,0.5862,0.981657323232323,0.9851930717371702,1.0664013857269288,68.994,nan
31,55.69,0.5567450956656831,0.5569,0.9802268282828284,0.9849765728535338,1.0599567885971068,69.066,nan
32,56.589999999999996,0.5702817679040486,0.5659,0.9793272727272729,0.9851331318571976,1.0488693631744386,69.172,nan
33,54.1,0.5410394799500058,0.541,0.9780322424242422,0.984816193204079,1.0376131414413452,69.552,nan
34,56.58,0.5610257494984876,0.5658,0.9797336565656566,0.9850521901914396,1.0303494189834594,69.702,nan
35,59.940000000000005,0.5920413324372124,0.5994,0.9825171565656565,0.9852097925926127,1.0278061209869385,69.8,nan
36,60.089999999999996,0.602095593001002,0.6009,0.984163292929293,0.9851249964190746,1.0165602722549438,70.09,nan
37,55.93,0.553257387720072,0.5593,0.9795297474747475,0.9851204600225953,1.014373372001648,70.148,nan
38,55.87,0.5553651958771855,0.5587,0.9791501717171717,0.9851548895288806,1.0022818514251708,70.642,nan
39,57.46,0.574305981379881,0.5746,0.9811469999999999,0.9852358945259208,0.9997408393859863,70.552,nan
40,59.160000000000004,0.5880934519134838,0.5916,0.9813428383838382,0.9851827052703419,0.9909612968444824,70.728,nan
41,58.5,0.5802364844397152,0.585,0.9812887272727272,0.9854355855987034,0.9825568881607055,70.964,nan
42,57.589999999999996,0.5748719030661856,0.5759,0.9807596464646465,0.9852077995064186,0.9776391997528077,71.168,nan
43,61.12,0.6081351311569053,0.6112,0.9838270606060607,0.9854117623775365,0.9698675301361084,71.398,nan
44,61.86000000000001,0.6203196489539125,0.6186,0.9830888282828282,0.9854949219681874,0.9560108164978027,71.742,nan
45,60.35,0.6020915783334413,0.6035,0.9828684545454546,0.9854419650015359,0.9610415438842773,71.896,nan
46,57.28,0.5826114974606168,0.5728,0.9806754343434343,0.9853057579359694,0.9400938475799561,72.202,nan
47,60.31999999999999,0.6092803253902511,0.6032,0.9829845252525253,0.9854137670211592,0.9474395791816711,72.134,nan
48,58.98,0.588050110231531,0.5898,0.982602414141414,0.9850691310677164,0.9316947077560425,72.49,nan
49,59.940000000000005,0.5982250886407963,0.5994,0.9824671515151516,0.9856449398031217,0.9393599995040893,72.242,nan
50,58.599999999999994,0.5920615211288098,0.586,0.9817664696969696,0.9854323613745539,0.9275774437332154,72.442,nan
51,60.18,0.603851543902234,0.6018,0.983242090909091,0.9854646630966354,0.9168332121658325,72.656,nan
52,58.01,0.5792801181488941,0.5801,0.9801281515151516,0.9853850564735103,0.9162339708137512,72.874,nan
53,61.19,0.6135100419084586,0.6119,0.9852279292929293,0.9855796929596821,0.8988174751663208,73.28,nan
54,60.199999999999996,0.6004649286598693,0.602,0.9838774949494946,0.9854232256847595,0.8945566247940063,73.328,nan
55,61.78,0.6149169620569706,0.6178,0.9844073535353536,0.9857338802871705,0.9042958876228333,73.266,nan
56,56.989999999999995,0.5724379103438817,0.5699,0.9799517626262626,0.9852341647704935,0.880116464958191,73.768,nan
57,60.480000000000004,0.605098125628114,0.6048,0.983287404040404,0.9857063712364623,0.8858596818161011,73.472,nan
58,59.019999999999996,0.5863902069234718,0.5902,0.9817324242424244,0.985434804142376,0.8719814558410645,74.16,nan
59,61.31999999999999,0.6080600168712456,0.6132,0.9833271616161617,0.9856198330905529,0.8716157081794739,74.062,nan
60,59.650000000000006,0.6011745662547413,0.5965,0.981198393939394,0.9855488564157961,0.8553148334503173,74.458,nan
61,60.84,0.6027937312659577,0.6084,0.9827251212121211,0.985841079060611,0.8536830693817139,74.414,nan
62,57.699999999999996,0.5802661531061729,0.577,0.978988303030303,0.9852594743165838,0.840124476032257,74.806,nan
63,59.56,0.5936448566607758,0.5956,0.9819861515151519,0.9857913997906914,0.8257549636268616,75.1,nan
64,58.02,0.5829898779391468,0.5802,0.9794890101010101,0.9853594590828952,0.8432703136825561,74.778,nan
65,61.970000000000006,0.619005723123278,0.6197,0.9845762777777778,0.9857002691597563,0.8215032607650757,75.568,nan
66,58.550000000000004,0.5863257492065211,0.5855,0.9812610404040405,0.9852693794195081,0.8169424940681458,75.608,nan
