epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,4.46,0.014447463155699154,0.0446,0.6731442676767676,0.9810008936918855,3.951371982104407,9.588035599596294,0.10022874739627506
2,6.959999999999999,0.028784594216403253,0.0696,0.7451864494949494,0.9807053839828004,3.5610214863712497,15.019726580420222,0.09991096488611642
3,7.79,0.03421249538445522,0.0779,0.7659008080808083,0.981370806777581,3.3821266008764357,18.698963207633728,0.09999152645468712
4,10.16,0.04898471375944439,0.1016,0.7879283838383838,0.9811937249995059,3.2066857649630522,22.249747683273696,0.10010074720133183
5,10.38,0.05833107144081016,0.1038,0.8066824242424241,0.9812623977658685,3.0986503856927388,24.57106156528122,0.10009527500978736
6,10.82,0.05773538913251814,0.1082,0.8153522929292929,0.9819466946862679,2.9654243623502694,27.011652445178456,0.10028798020509787
7,13.389999999999999,0.0810760418851872,0.1339,0.8418817272727271,0.9818464198022361,2.844879696288014,29.167813560877146,0.10001559122357258
8,13.25,0.07658772316372438,0.1325,0.8403601414141414,0.9824134256350905,2.703573207000339,32.26901550600972,0.10007884890534156
9,13.3,0.08937338264579447,0.133,0.8137671111111112,0.9828307600265709,2.585979993129632,34.5719790806496,0.09989526720587598
10,15.540000000000001,0.10047894493063916,0.1554,0.8469683787878789,0.9825521951233478,2.4840795627175387,36.97586934581154,0.09985956688259923
11,18.099999999999998,0.121679259494889,0.181,0.8689853838383838,0.9829442980550271,2.350641123340025,39.2329571520323,0.09980835557677024
12,17.02,0.12058053983036036,0.1702,0.8639067474747474,0.9834039885826678,2.2563942796933083,41.71942380034866,0.09986636510422063
13,20.150000000000002,0.14436278536891056,0.2015,0.8740169595959596,0.9832663229184484,2.1320827898492243,44.27929167813561,0.09991505508159482
14,20.22,0.14770280497798838,0.2022,0.8827852020202019,0.9833041759724861,2.0202885039608045,47.08688870538582,0.09985768049955368
15,23.990000000000002,0.17605745943475157,0.2399,0.8942251515151515,0.9834515626284042,1.9208268769148982,49.07789705477567,0.09987812203376792
16,23.14,0.17069857772628688,0.2314,0.895596106060606,0.9837852988764194,1.8398301487658502,50.67437379576108,0.09989687341243722
17,22.54,0.16467430980471803,0.2254,0.8965886767676767,0.9841759199952829,1.7391319159291536,53.564547206165706,0.10005371956977734
18,26.83,0.20190347183554594,0.2683,0.9039834141414141,0.9841132620297031,1.6683192695649527,54.86741902926874,0.09990646378245464
19,27.0,0.21264016763620763,0.27,0.9074009292929293,0.9842900597106259,1.5779283505884352,57.152032296540966,0.10002691861848499
20,27.54,0.21956907170567497,0.2754,0.9100208282828283,0.9843171870036305,1.5109895869278778,58.66593265437196,0.10003193329240001
21,26.090000000000003,0.20486338921571984,0.2609,0.9007411010101011,0.9845959215856119,1.4201880378705207,61.23497568584274,0.09978850237851919
22,28.28,0.22836670036443033,0.2828,0.9131013232323231,0.9844731247267186,1.3666836519243084,61.978163134232496,0.0999610182331052
23,27.92,0.21732821878205758,0.2792,0.9076094595959593,0.9850236082241213,1.321479701494906,63.57463987521791,0.09999090077918629
24,27.0,0.22269154075516095,0.27,0.9061085757575758,0.9848417236376883,1.2861325324309048,63.99669694467382,0.09988901989404546
25,28.660000000000004,0.2325457708513538,0.2866,0.915387222222222,0.9852412084176904,1.2228528362248445,65.9968804477475,0.09995925322521565
26,27.779999999999998,0.23374072626811235,0.2778,0.9039239343434344,0.9858648204435043,1.1545084147554372,67.0978988898064,0.10005231877399046
27,31.180000000000003,0.2608804347554933,0.3118,0.9200560808080808,0.9851114412201188,1.129171222970621,68.23561794660061,0.10007384358796963
28,31.130000000000003,0.2611177790047551,0.3113,0.919970813131313,0.9850857326002344,1.0844471223398746,69.01550600972567,0.10009070858359337
29,32.379999999999995,0.27278428010842226,0.3238,0.9269284595959597,0.9851732146639323,1.0159327514686325,70.22662629599046,0.10008999887247418
30,31.380000000000003,0.2572012102892143,0.3138,0.91710552020202,0.9857099962097498,0.9846526640075556,72.03413157170382,0.09999713873447375
31,33.03,0.2682463898603664,0.3303,0.9249729292929293,0.9855855027165901,0.9639109589110952,72.15340856959354,0.09995931863438251
32,29.630000000000003,0.25858150707577654,0.2963,0.909746404040404,0.9856121993451922,0.9306060531367095,73.59390769795394,0.09995263243137403
33,29.409999999999997,0.24722022022108006,0.2941,0.907013303030303,0.9856955028952663,0.9026790226213494,74.1444169189834,0.10004365288240966
34,32.21,0.2749334433903395,0.3221,0.9177944696969695,0.9855387664633843,0.8599524106965369,74.86007890632168,0.09988471493124962
35,33.35,0.28746661905217347,0.3335,0.9200429696969696,0.9856415106982879,0.8098522025911685,76.46573080099091,0.09994674924501153
36,30.81,0.2642745650348213,0.3081,0.917298631313131,0.9857252821965166,0.8149056449342468,76.13542526837324,0.10008080996746241
37,32.18,0.28095926898193313,0.3218,0.9195396464646466,0.9856479300447818,0.7908333255474869,77.26396917148362,0.09991996700680533
38,34.52,0.2962910015321441,0.3452,0.9281422323232323,0.9856407899768369,0.8335954312808317,75.8142948894394,0.0999987916371157
39,34.239999999999995,0.2935599336682755,0.3424,0.9252709393939397,0.9857931135545305,0.6773026570867798,80.2917698871456,0.09999005097982495
40,33.629999999999995,0.2897817002449261,0.3363,0.9237101262626264,0.9860610326661206,0.7126885771652965,79.02559867877787,0.10000690661890563
41,34.96,0.29910195325136657,0.3496,0.9297328282828282,0.9857843414352883,0.7035471836364929,79.16322598403524,0.09983397994277089
42,33.71,0.29042539604853707,0.3371,0.9272050404040406,0.9859714285144321,0.6364761959255174,81.32856225341774,0.09987319148210592
43,34.07,0.300076370878983,0.3407,0.9189787121212118,0.9862008091306582,0.5569594628833414,83.64987613542527,0.09990524050108222
44,34.57,0.30354548958017746,0.3457,0.9202924343434343,0.9861000129796784,0.5782222994391727,82.77823653546197,0.10004160778467046
45,32.0,0.2697421554145558,0.32,0.912730292929293,0.9863176340483075,0.5522150584443664,83.32874575649141,0.10004949864259986
46,34.150000000000006,0.30352465575681625,0.3415,0.9222558333333333,0.9857850144187681,0.5732300525871435,82.92503899440315,0.10007155573991842
47,33.23,0.2977216599741195,0.3323,0.9148242373737376,0.985852676593936,0.6018535176902006,82.12680062391046,0.09989858228106831
48,34.04,0.3028164510217229,0.3404,0.920633601010101,0.9862471802554039,0.5677715797404191,82.87916322598403,0.0999206300218438
49,35.47,0.3141619289586275,0.3547,0.9284585151515152,0.9860523696187576,0.5459129136301463,83.80585374805028,0.09988314606422602
50,35.4,0.31690983522684385,0.354,0.9264047626262627,0.9861776889936938,0.4599673546545111,86.29232039636663,0.09979319953641226
51,34.81,0.29831879944625006,0.3481,0.920515277777778,0.9864091665176499,0.45774863112770164,86.4666483163593,0.0999448723051437
52,36.059999999999995,0.3153579242224036,0.3606,0.9263653838383838,0.9860271436820363,0.4796921565605091,85.56748325534453,0.10014374077666638
53,34.2,0.3055059850965421,0.342,0.9205286666666668,0.9862118986866453,0.46108551221830557,86.52169923846225,0.09997319534074428
54,36.55,0.3233192876573108,0.3655,0.9266820101010103,0.9863327053620924,0.36697784112138326,89.13661803835214,0.09999635434427927
55,34.57,0.3064070725139538,0.3457,0.921814318181818,0.9862351642152071,0.3682887600954437,89.3476465730801,0.10002816996948663
56,36.059999999999995,0.3179392927100858,0.3606,0.9177698989898989,0.986393549580933,0.3909438779068842,88.30167905312415,0.10001947600827661
57,37.730000000000004,0.32849767191404244,0.3773,0.9309317727272728,0.9862713581523361,0.3857747116967378,88.43013120469767,0.09984438277261201
58,35.38,0.3073414364003757,0.3538,0.9260397020202019,0.9861494470205521,0.38557312670722227,88.80631250573447,0.1000526923426362
59,35.88,0.3196881873758046,0.3588,0.9213632474747474,0.9862879764304945,0.36060849521474914,89.5036241857051,0.10001285512780034
60,35.28,0.31361191187247245,0.3528,0.9175415252525251,0.9861955293878872,0.36122317259295705,89.16414349940362,0.09988413595182952
61,36.13,0.32930473786373066,0.3613,0.9245583282828284,0.9864460888511849,0.3175726698531898,90.49454078355812,0.10004868618277617
62,34.58,0.3015517647353596,0.3458,0.9143888383838384,0.9864031276373791,0.34545523625375457,89.613726029911,0.09994931726954705
63,37.57,0.33440811846230356,0.3757,0.9245848383838383,0.9865382635969955,0.28943684172965,91.39370584457289,0.10008045511190282
64,36.76,0.32707185746738004,0.3676,0.921154590909091,0.9865025209695389,0.26444055734889116,92.20111936874943,0.09981597561475843
65,36.370000000000005,0.3206500507897088,0.3637,0.9232691464646463,0.9864708140499794,0.3163209561552845,90.86154693091109,0.099906305067761
66,34.12,0.30572135237464393,0.3412,0.9048057626262627,0.9866699242935703,0.3072594966688488,91.05422515827141,0.09984542862620464
67,36.370000000000005,0.33799234123241134,0.3637,0.9189556262626263,0.9865128481568449,0.3512725520310615,89.65960179833012,0.1000151616889377
68,37.980000000000004,0.34164057077284377,0.3798,0.9261452777777778,0.986523756624662,0.23462926449360286,93.0635838150289,0.09972396536275398
69,38.06,0.34014195281282494,0.3806,0.9222360101010102,0.9863093831210287,0.23741960241544333,93.09110927608037,0.10009765625
70,36.15,0.33513611825212775,0.3615,0.9159188131313131,0.9866020318230373,0.20930926267822267,94.30222956234518,0.0996714000438535
71,36.65,0.32637375893140963,0.3665,0.9204081161616162,0.9864299629864547,0.25593140179087825,92.63235159188916,0.09988163324982621
72,37.13,0.33224560578758344,0.3713,0.9233452676767676,0.9865164380021212,0.3578925977670137,89.35682172676393,0.10016233335400737
73,36.65,0.3343357224150389,0.3665,0.919911313131313,0.9863339199821634,0.26469257183277956,92.34792182769061,0.09970931353610615
74,36.28,0.3266735654927703,0.3628,0.9116566212121212,0.9864753697883696,0.3124876766070739,90.76062024038903,0.10021952115172564
75,36.559999999999995,0.3292037203773358,0.3656,0.9182434545454546,0.9866429098980538,0.21883337128866767,93.95357372235985,0.09993190136413242
76,38.14,0.34523346283323236,0.3814,0.9254998131313132,0.9864884972305338,0.18653510925321143,94.99954124231581,0.09979522592106531
77,36.95,0.33914364336879915,0.3695,0.9201996616161615,0.9866429426583088,0.2027091344476501,94.28387925497752,0.0999209101983281
78,37.8,0.34384875447898866,0.378,0.919689787878788,0.9867576051132032,0.17828317314006284,95.11881824020553,0.1000829764403576
79,38.57,0.34893165665745196,0.3857,0.9243339545454545,0.9864019808468999,0.28987373503053043,91.6597853014038,0.10011085131487181
80,37.45,0.3317297240098002,0.3745,0.9190372777777779,0.9864223386803332,0.21045129666012113,94.16460225708781,0.10012025498720102
81,38.5,0.3470428155202696,0.385,0.9258441010101011,0.9864702495542421,0.20563801956544261,94.2747041012937,0.10004135559118071
82,38.14,0.34935607380492323,0.3814,0.9205897676767677,0.9866917702225755,0.18645029317261877,94.98119093494816,0.09990962014295333
83,36.77,0.3291043893670973,0.3677,0.9187765404040404,0.9866932233333684,0.2257939823691654,93.68749426552895,0.10020081646913706
