run,imb_ratio,many,medium,few,all,best_acc_logged
cifar100_lt_dropout_rate0.1_L4_imb100_seed0,100.0,71.60,41.29,10.87,42.77,42.77
cifar100_lt_dropout_rate0.1_L4_imb100_seed1,100.0,72.83,41.83,11.33,43.53,43.53
cifar100_lt_dropout_rate0.1_L4_imb100_seed2,100.0,69.97,41.31,12.27,42.63,42.64
cifar100_lt_dropout_rate0.1_L4_imb100_seed3,100.0,71.17,40.66,12.23,42.81,42.81
cifar100_lt_dropout_rate0.1_L4_imb100_seed4,100.0,71.09,43.34,10.73,43.27,43.27
cifar100_lt_none_rate0.1_L4_imb100_seed0,100.0,71.86,41.69,10.60,42.92,42.92
cifar100_lt_none_rate0.1_L4_imb100_seed1,100.0,72.06,41.00,9.77,42.50,42.50
cifar100_lt_none_rate0.1_L4_imb100_seed2,100.0,70.74,42.00,13.90,43.63,43.63
cifar100_lt_none_rate0.1_L4_imb100_seed3,100.0,71.71,41.17,11.43,42.94,42.94
cifar100_lt_none_rate0.1_L4_imb100_seed4,100.0,73.49,41.91,9.57,43.26,43.26
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_nmmean_seed0,100.0,73.71,43.09,10.03,43.89,43.89
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_nmmean_seed1,100.0,71.71,43.60,12.63,44.15,44.15
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_nmmean_seed2,100.0,72.43,43.77,12.90,44.54,44.53
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_nmmean_seed3,100.0,72.43,42.49,13.50,44.27,44.27
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_nmmean_seed4,100.0,71.23,43.63,11.13,43.54,43.55
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_seed0,100.0,71.43,41.69,12.03,43.20,43.20
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_seed1,100.0,70.40,42.23,11.87,42.98,42.99
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_seed2,100.0,71.23,41.14,12.17,42.98,42.98
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_seed3,100.0,71.89,41.40,11.93,43.23,43.24
cifar100_lt_sdrop_energy_rate0.1_L4_imb100_seed4,100.0,71.57,42.49,11.00,43.22,43.21
cifar100_lt_sdrop_rate0.1_L4_imb100_seed0,100.0,72.77,41.89,11.47,43.57,43.57
cifar100_lt_sdrop_rate0.1_L4_imb100_seed1,100.0,71.37,43.14,11.97,43.67,43.67
cifar100_lt_sdrop_rate0.1_L4_imb100_seed2,100.0,72.26,42.43,12.97,44.03,44.03
cifar100_lt_sdrop_rate0.1_L4_imb100_seed3,100.0,72.49,41.43,11.47,43.31,43.31
cifar100_lt_sdrop_rate0.1_L4_imb100_seed4,100.0,71.94,42.83,11.67,43.67,43.67
